country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,,year_of_event,independence_from,event_commemorated_and_notes,year,date_mdy
Saint Lucia,22/02/1979,Thursday,22,Feb,Independence Day,01/02/2022,February-22,1979,United Kingdom,Unknown,1979,"February 22, 1979"
Mali,22/09/1960,Thursday,22,Sep,Unknown,01/09/2022,September-22,1960,France,Unknown,1960,"September 22, 1960"
Lebanon,22/11/1943,Monday,22,Nov,Independence Day,01/11/2022,November-22,1943,France,Unknown,1943,"November 22, 1943"
Brunei,23/02/1984,Thursday,23,Feb,National Day,01/02/2023,February-23,1984,United Kingdom,"Brunei gained full independence effective January 1, 1984 under the Treaty of Friendship and Co-operation of 7 January 1979 between United Kingdom and Brunei.[21] However, the celebrations of the first National Day were delayed until February 23 and that day continues to be celebrated since.[22]",1984,"February 23, 1984"
Saudi Arabia,23/09/1932,Friday,23,Sep,National Day,01/09/2023,September-23,1932,Unknown,"King Abdulaziz renames the Arabian Peninsula after himself ""House of Saud"" or ""Saud's Arabia"". King Abdullah officially recognized it in 2005 by royal decree.",1932,"September 23, 1932"
Estonia,24/02/1918,Sunday,24,Feb,Independence Day,01/02/2024,February-24,1918,Russian Soviet Federative Socialist Republic,Estonian Declaration of Independence,1918,"February 24, 1918"
Ireland,24/04/1916,Monday,24,Apr,Unknown,01/04/2024,April-24,1916,United Kingdom of Great Britain and Ireland,Proclamation of the Irish Republic commencing the Easter Rising. Usually celebrated on Easter Monday.,1916,"April 24, 1916"
Eritrea,24/05/1991,Friday,24,May,Independence Day,01/05/2024,May-24,1991,Ethiopia,Unknown,1991,"May 24, 1991"
Ukraine,24/08/1991,Saturday,24,Aug,Independence Day,01/08/2024,August-24,1991,Soviet Union,Declaration of Independence of Ukraine,1991,"August 24, 1991"
Guinea-Bissau,24/09/1973,Monday,24,Sep,Independence Day,01/09/2024,September-24,1973,Portugal,Declaration of independence during the Guinea-Bissau War of Independence[56],1973,"September 24, 1973"
Zambia,24/10/1964,Saturday,24,Oct,Independence Day,01/10/2024,October-24,1964,United Kingdom,Effective date of the Zambia Independence Act 1964,1964,"October 24, 1964"
Libya,24/12/1951,Monday,24,Dec,Unknown,01/12/2024,December-24,1951,Italy,"Independence from Italy on February 10, 1947, released from British and French on December 24, 1951.",1951,"December 24, 1951"
Kuwait,25/02/1961,Saturday,25,Feb,Unknown,01/02/2025,February-25,1961,United Kingdom,Unknown,1961,"February 25, 1961"
Greece,25/3/1821,Sunday,25,Mar,Unknown,01/03/2025,March-25,1821,Ottoman Empire,Declaration of independence 1821. Start of the Greek War of Independence.,1821,"March 25, 1821"
Jordan,25/05/1946,Saturday,25,May,Independence Day,01/05/2025,May-25,1946,United Kingdom,Ascension of Abdullah I of Jordan to the throne[59],1946,"May 25, 1946"
Slovenia,25/06/1991,Tuesday,25,Jun,Independence and Unity Day,01/06/2025,June-25,1991,SFR Yugoslavia,"Date of the release of the official results of the independence plebiscite in 1990, confirming secession from Yugoslavia. (Statehood Day) Declared independence from Yugoslavia in 1991.",1991,"June 25, 1991"
Mozambique,25/06/1975,Wednesday,25,Jun,Independence DayDia da Independência Nacional,01/06/2025,June-25,1975,Portugal,"In September 1964 the Mozambique Liberation Front (FRELIMO) began an armed guerilla campaign against the Portuguese. FRELIMO took control of Maputo in April 1974 in a coup. Independence for Mozambique was officially declared a year later on June 25, 1975.[70]",1975,"June 25, 1975"
Uruguay,25/8/1825,Thursday,25,Aug,Independence Day,01/08/2025,August-25,1825,United Provinces of the Rio de la Plata,Declaration of independence and union with the United Provinces of the Rio de la Plata.,1825,"August 25, 1825"
Suriname,25/11/1975,Tuesday,25,Nov,Independence Day,01/11/2025,November-25,1975,Netherlands,Unknown,1975,"November 25, 1975"
India,26/01/1950,Thursday,26,Jan,Republic Day,01/01/2026,January-26,1950,Unknown,Unknown,1950,"January 26, 1950"
Bangladesh,26/03/1971,Friday,26,Mar,Independence Day,01/03/2026,March-26,1971,Pakistan,Proclamation of Bangladeshi Independence,1971,"March 26, 1971"
Georgia,26/05/1918,Sunday,26,May,Independence Day,01/05/2026,May-26,1918,Russian Soviet Federative Socialist Republic,Day of the proclamation of the Democratic Republic of Georgia in 1918.,1918,"May 26, 1918"
Guyana,26/05/1966,Thursday,26,May,Unknown,01/05/2026,May-26,1966,United Kingdom,Unknown,1966,"May 26, 1966"
Madagascar,26/06/1960,Sunday,26,Jun,Unknown,01/06/2026,June-26,1960,France,Unknown,1960,"June 26, 1960"
